folder,file,score,suspicious,flags,error
alu_simple,alu_simple_HT1_gpt-4.1_A1.v,10,True,multi_condition_trigger; two_condition_trigger; counter_increments_conditionally; magic_constant_hex; magic_constant_binary; counter_threshold_compare; functional_substitution; reset_clears_multiple_regs,
aes_sbox,aes_sbox_HT3_gpt-4.1_A1.v,8,True,magic_constant_hex; counter_threshold_compare; functional_substitution; localparam_fsm; dos_payload,
uart_controller,uart_controller_HT2_gpt-4.1_A1.v,6,True,two_condition_trigger; magic_constant_binary; shift_register_trigger; serial_data_leak,
alu_simple,alu_simple_HT2_gpt-4.1_A1.v,5,True,magic_constant_binary; covert_output_port; serial_data_leak,
shift_reg,shift_reg_HT2_gpt-4.1_A1.v,5,True,magic_constant_binary; covert_output_port; serial_data_leak,
aes_sbox,aes_sbox_HT2_gpt-4.1_A1.v,5,True,counter_increments_conditionally; magic_constant_binary; counter_threshold_compare; covert_output_port,
aes_sbox,aes_sbox_HT4_gpt-4.1_A1.v,5,True,counter_increments_conditionally; magic_constant_hex; counter_threshold_compare; shift_register_trigger,
shift_reg,shift_reg_HT1_gpt-4.1_A1.v,4,True,counter_increments_conditionally; counter_threshold_compare; shift_register_trigger,
aes_sbox,aes_sbox_HT1_gpt-4.1_A1.v,4,True,counter_increments_conditionally; counter_threshold_compare; functional_substitution,
uart_controller,uart_controller_HT3_gpt-4.1_A1.v,4,True,counter_increments_conditionally; magic_constant_hex; countdown_timer; suspicious_parameter,
uart_controller,uart_controller_HT4_gpt-4.1_A1.v,4,True,magic_constant_hex; activation_register; shift_register_trigger,
uart_controller,uart_controller_HT1_gpt-4.1_A1.v,3,True,counter_threshold_compare; bit_flip_payload,
demo_designs,alu_simple.v,0,False,,
demo_designs,shift_reg.v,0,False,,
batch_trojan_designs,aes_sbox.v,0,False,,
batch_trojan_designs,uart_controller.v,0,False,,
